@M1[w] @M1[vgs] @M1[gm] @M1[gds] @M1[vdsat] @M1[vth] @M1[cgs] @M1[cgg] @M1[gmbs]
1E-05 -2.24784 0 9.19991E-43 0.0428545 0.452537 -3.55275E-11 5.76474E-08 1.9125E-42
1.5E-05 -2.18034 3.45022E-40 1.90284E-42 0.0428535 0.452332 -5.33886E-11 8.64816E-08 1.479E-40
2E-05 -2.13526 8.70295E-40 4.79925E-42 0.0428542 0.452487 -7.10679E-11 1.15268E-07 3.69073E-40
2.5E-05 -2.10177 1.73811E-39 9.58334E-42 0.0428555 0.452762 -8.85776E-11 1.43996E-07 7.30743E-40
3E-05 -2.07532 3.01105E-39 1.6599E-41 0.0428569 0.45308 -1.05926E-10 1.72654E-07 1.25677E-39
3.5E-05 -2.05355 4.74247E-39 2.61394E-41 0.0428584 0.45341 -1.23139E-10 2.01258E-07 1.96715E-39
4E-05 -2.03513 6.97787E-39 3.84541E-41 0.0428599 0.453737 -1.40229E-10 2.29812E-07 2.87859E-39
4.5E-05 -2.01919 9.75719E-39 5.37619E-41 0.0428613 0.454057 -1.57206E-10 2.58316E-07 4.00556E-39
5E-05 -2.00517 1.31156E-38 7.22556E-41 0.0428627 0.454366 -1.74079E-10 2.86774E-07 5.36065E-39
5.5E-05 -1.99269 1.70843E-38 9.41061E-41 0.042864 0.454664 -1.90856E-10 3.15188E-07 6.95487E-39
6E-05 -1.98144 2.16915E-38 1.19467E-40 0.0428653 0.454951 -2.07544E-10 3.43558E-07 8.79801E-39
6.5E-05 -1.97123 2.69625E-38 1.48478E-40 0.0428665 0.455226 -2.24149E-10 3.71886E-07 1.08989E-38
7E-05 -1.96187 3.29201E-38 1.81262E-40 0.0428676 0.45549 -2.40675E-10 4.00174E-07 1.32651E-38
7.5E-05 -1.95325 3.95865E-38 2.17941E-40 0.0428687 0.455744 -2.57127E-10 4.28422E-07 1.59044E-38
8E-05 -1.94526 4.69802E-38 2.58616E-40 0.0428698 0.455988 -2.73509E-10 4.56633E-07 1.88228E-38
8.5E-05 -1.93783 5.51196E-38 3.03387E-40 0.0428708 0.456223 -2.89824E-10 4.84807E-07 2.20265E-38
9E-05 -1.93087 6.40214E-38 3.52345E-40 0.0428718 0.456449 -3.06076E-10 5.12945E-07 2.5521E-38
9.5E-05 -1.92434 7.37012E-38 4.05576E-40 0.0428727 0.456667 -3.22268E-10 5.41048E-07 2.93114E-38
0.0001 -1.91819 8.41713E-38 4.63147E-40 0.0428736 0.456878 -3.38402E-10 5.69118E-07 3.34015E-38
0.000105 -8.18818 0 4.02909E-42 0.042738 0.621624 -1.22744E-10 6.03956E-07 1.94826E-41
0.00011 -8.16951 0 4.2267E-42 0.0427443 0.62038 -1.29411E-10 6.3276E-07 2.04452E-41
0.000115 -1.90164 1.20481E-37 6.62751E-40 0.0428761 0.457468 -3.8648E-10 6.53128E-07 4.75223E-38
0.00012 -8.1346 0 4.62291E-42 0.0427561 0.61801 -1.42907E-10 6.90371E-07 2.23762E-41
0.000125 -8.11822 0 4.82148E-42 0.0427617 0.61688 -1.49734E-10 7.19178E-07 2.33446E-41
