@M1[w] @M1[vgs] @M1[gm] @M1[gds] @M1[vdsat] @M1[vth] @M1[cgs] @M1[cgg] @M1[gmbs]
3E-05 0.445013 0.00146885 1.82987E-05 0.106159 0.378207 -2.27791E-13 2.77638E-13 0.000343171
3.5E-05 0.434742 0.00153366 1.6725E-05 0.100163 0.378207 -2.42608E-13 3.05031E-13 0.000357659
4E-05 0.426183 0.00158746 1.56292E-05 0.0953705 0.378207 -2.53205E-13 3.29027E-13 0.000369716
4.5E-05 0.418867 0.00163299 1.48256E-05 0.0914307 0.378207 -2.60483E-13 3.50359E-13 0.000379948
5E-05 0.41249 0.00167216 1.4213E-05 0.0881211 0.378207 -2.65194E-13 3.69642E-13 0.000388769
5.5E-05 0.406847 0.00170627 1.37317E-05 0.0852926 0.378207 -2.67946E-13 3.87367E-13 0.00039647
6E-05 0.401791 0.00173632 1.33445E-05 0.082841 0.378207 -2.69215E-13 4.03921E-13 0.000403267
6.5E-05 0.397216 0.00176302 1.3027E-05 0.0806911 0.378207 -2.69372E-13 4.19605E-13 0.000409321
7E-05 0.39304 0.00178693 1.27622E-05 0.0787872 0.378207 -2.68704E-13 4.3465E-13 0.000414755
7.5E-05 0.389202 0.00180851 1.25385E-05 0.0770866 0.378207 -2.67429E-13 4.49232E-13 0.000419667
8E-05 0.385652 0.0018281 1.23472E-05 0.0755567 0.378207 -2.65714E-13 4.63485E-13 0.000424134
8.5E-05 0.382351 0.00184597 1.21821E-05 0.0741713 0.378207 -2.63687E-13 4.77512E-13 0.000428219
9E-05 0.379268 0.00186236 1.20383E-05 0.0729098 0.378207 -2.61445E-13 4.91389E-13 0.000431973
9.5E-05 0.376377 0.00187746 1.19121E-05 0.0717553 0.378207 -2.59061E-13 5.05175E-13 0.000435437
0.0001 0.373654 0.00189142 1.18005E-05 0.070694 0.378207 -2.56592E-13 5.18914E-13 0.000438648
0.000105 0.371083 0.00190438 1.17014E-05 0.0697143 0.378207 -2.5408E-13 5.3264E-13 0.000441634
0.00011 0.368648 0.00191646 1.16127E-05 0.0688068 0.378207 -2.51557E-13 5.46376E-13 0.00044442
0.000115 0.366335 0.00192774 1.15331E-05 0.0679632 0.378207 -2.49046E-13 5.60142E-13 0.000447028
0.00012 0.364133 0.00193831 1.14612E-05 0.0671768 0.378207 -2.46565E-13 5.73952E-13 0.000449477
0.000125 0.362033 0.00194824 1.13961E-05 0.0664415 0.378207 -2.44127E-13 5.87813E-13 0.000451781
0.00013 0.360024 0.00195759 1.13369E-05 0.0657523 0.378207 -2.41742E-13 6.01733E-13 0.000453956
0.000135 0.3581 0.00196642 1.12828E-05 0.0651048 0.378207 -2.39416E-13 6.15718E-13 0.000456012
0.00014 0.356255 0.00197478 1.12334E-05 0.0644951 0.378207 -2.37153E-13 6.29769E-13 0.000457962
0.000145 0.354481 0.0019827 1.11879E-05 0.0639198 0.378207 -2.34957E-13 6.43888E-13 0.000459813
0.00015 0.352774 0.00199022 1.11461E-05 0.063376 0.378207 -2.32828E-13 6.58077E-13 0.000461575
0.000155 0.35113 0.00199738 1.11075E-05 0.062861 0.378207 -2.30768E-13 6.72334E-13 0.000463254
0.00016 0.349543 0.0020042 1.10718E-05 0.0623725 0.378207 -2.28776E-13 6.86659E-13 0.000464858
0.000165 0.34801 0.00201071 1.10387E-05 0.0619084 0.378207 -2.26851E-13 7.01052E-13 0.000466391
0.00017 0.346527 0.00201694 1.1008E-05 0.0614669 0.378207 -2.24991E-13 7.15509E-13 0.00046786
0.000175 0.345092 0.00202291 1.09793E-05 0.0610461 0.378207 -2.23197E-13 7.30031E-13 0.000469269
0.00018 0.343702 0.00202862 1.09526E-05 0.0606448 0.378207 -2.21465E-13 7.44615E-13 0.000470622
0.000185 0.342353 0.00203412 1.09277E-05 0.0602614 0.378207 -2.19795E-13 7.5926E-13 0.000471924
0.00019 0.341043 0.00203939 1.09043E-05 0.0598948 0.378207 -2.18183E-13 7.73963E-13 0.000473177
0.000195 0.339771 0.00204447 1.08824E-05 0.0595438 0.378207 -2.16628E-13 7.88722E-13 0.000474384
0.0002 0.338534 0.00204936 1.08619E-05 0.0592075 0.378207 -2.15129E-13 8.03535E-13 0.00047555
0.000205 0.337331 0.00205408 1.08426E-05 0.0588848 0.378207 -2.13682E-13 8.18402E-13 0.000476676
0.00021 0.336159 0.00205864 1.08244E-05 0.058575 0.378207 -2.12287E-13 8.33319E-13 0.000477765
0.000215 0.335017 0.00206304 1.08073E-05 0.0582772 0.378207 -2.10941E-13 8.48285E-13 0.000478819
0.00022 0.333904 0.0020673 1.07911E-05 0.0579907 0.378207 -2.09642E-13 8.63298E-13 0.000479841
0.000225 0.332817 0.00207142 1.07759E-05 0.057715 0.378207 -2.08388E-13 8.78357E-13 0.000480831
0.00023 0.331757 0.00207542 1.07615E-05 0.0574493 0.378207 -2.07178E-13 8.9346E-13 0.000481792
0.000235 0.330722 0.00207929 1.07478E-05 0.0571931 0.378207 -2.0601E-13 9.08604E-13 0.000482726
0.00024 0.32971 0.00208306 1.07349E-05 0.0569459 0.378207 -2.04882E-13 9.23789E-13 0.000483633
0.000245 0.328721 0.00208671 1.07226E-05 0.0567072 0.378207 -2.03792E-13 9.39013E-13 0.000484516
0.00025 0.327754 0.00209023 1.07109E-05 0.0564765 0.378207 -2.02724E-13 9.5426E-13 0.000485376
0.000255 0.326807 0.00209355 1.06999E-05 0.0562536 0.378207 -2.01645E-13 9.69495E-13 0.000486213
0.00026 0.325881 0.00209678 1.06893E-05 0.0560378 0.378207 -2.00599E-13 9.84765E-13 0.000487029
0.000265 0.324973 0.00209992 1.06793E-05 0.055829 0.378207 -1.99585E-13 1.00007E-12 0.000487825
0.00027 0.324083 0.00210298 1.06698E-05 0.0556267 0.378207 -1.98601E-13 1.0154E-12 0.000488602
0.000275 0.323211 0.00210597 1.06607E-05 0.0554307 0.378207 -1.97648E-13 1.03077E-12 0.00048936
0.00028 0.322356 0.00210888 1.0652E-05 0.0552407 0.378207 -1.96722E-13 1.04616E-12 0.000490101
0.000285 0.321517 0.00211173 1.06437E-05 0.0550563 0.378207 -1.95824E-13 1.06159E-12 0.000490826
0.00029 0.320694 0.0021145 1.06358E-05 0.0548773 0.378207 -1.94952E-13 1.07704E-12 0.000491534
0.000295 0.319886 0.00211721 1.06283E-05 0.0547035 0.378207 -1.94106E-13 1.09252E-12 0.000492228
0.0003 0.319093 0.00211986 1.0621E-05 0.0545347 0.378207 -1.93283E-13 1.10802E-12 0.000492907
0.000305 0.318314 0.00212246 1.06141E-05 0.0543706 0.378207 -1.92483E-13 1.12355E-12 0.000493572
